probe_id,gene_symbol,gene_name,entrez_id,ensembl_id
ILMN_1764187,FVT1,"Homo sapiens follicular lymphoma variant translocation 1 (FVT1), mRNA.",,
ILMN_1733221,C9ORF164,"Homo sapiens chromosome 9 open reading frame 164 (C9orf164), mRNA.",,
ILMN_1808011,FAM46B,"Homo sapiens family with sequence similarity 46, member B (FAM46B), mRNA.",,
ILMN_1694472,GCK,"Homo sapiens glucokinase (hexokinase 4, maturity onset diabetes of the young 2) (GCK), transcript variant 2, mRNA.",,
ILMN_1751793,PCNXL2,"Homo sapiens pecanex-like 2 (Drosophila) (PCNXL2), transcript variant 2, mRNA.",,
ILMN_1660541,PCNXL2,"Homo sapiens pecanex-like 2 (Drosophila) (PCNXL2), transcript variant 2, mRNA.",,
ILMN_1765208,GLUL,"Homo sapiens glutamate-ammonia ligase (glutamine synthetase) (GLUL), transcript variant 3, mRNA.",,
ILMN_1656913,MDH1,"Homo sapiens malate dehydrogenase 1, NAD (soluble) (MDH1), mRNA.",,
ILMN_1665572,TSPAN12,"Homo sapiens tetraspanin 12 (TSPAN12), mRNA.",,
ILMN_1707630,USH3A,"Homo sapiens Usher syndrome 3A (USH3A), transcript variant 3, mRNA.",,
ILMN_1681798,SEPTIN 6,"Homo sapiens septin 6 (SEPT6), transcript variant V, mRNA.",,
ILMN_1656837,RBP1,"Homo sapiens retinol binding protein 1, cellular (RBP1), mRNA.",,
ILMN_1656196,E2F6,"Homo sapiens E2F transcription factor 6 (E2F6), mRNA.",,
ILMN_1780834,TUBA4B,"Homo sapiens tubulin, alpha 4b (TUBA4B) on chromosome 2.",,
ILMN_1748916,C18ORF55,"Homo sapiens chromosome 18 open reading frame 55 (C18orf55), mRNA.",,
ILMN_1748147,MTO1,"Homo sapiens mitochondrial translation optimization 1 homolog (S. cerevisiae) (MTO1), transcript variant 1, mRNA.",,
ILMN_1701837,KLHL2,"Homo sapiens kelch-like 2, Mayven (Drosophila) (KLHL2), mRNA.",,
ILMN_1804332,GPR137,"Homo sapiens G protein-coupled receptor 137 (GPR137), mRNA.",,
ILMN_1734827,MKI67,"Homo sapiens antigen identified by monoclonal antibody Ki-67 (MKI67), mRNA.",,
ILMN_1697519,ARNT,"Homo sapiens aryl hydrocarbon receptor nuclear translocator (ARNT), transcript variant 3, mRNA.",,
ILMN_1652143,E2F3,"Homo sapiens E2F transcription factor 3 (E2F3), mRNA.",,
ILMN_1734781,IFNE1,"Homo sapiens interferon epsilon 1 (IFNE1), mRNA.",,
ILMN_1665033,NPR3,"Homo sapiens natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C) (NPR3), mRNA.",,
ILMN_1811933,SHMT1,"Homo sapiens serine hydroxymethyltransferase 1 (soluble) (SHMT1), transcript variant 1, mRNA.",,
ILMN_1743784,SHMT1,"Homo sapiens serine hydroxymethyltransferase 1 (soluble) (SHMT1), transcript variant 1, mRNA.",,
ILMN_1659772,CNGA2,"Homo sapiens cyclic nucleotide gated channel alpha 2 (CNGA2), mRNA.",,
ILMN_1749544,RYR3,"Homo sapiens ryanodine receptor 3 (RYR3), mRNA.",,
ILMN_1674285,LOC401233,"Homo sapiens similar to HIV TAT specific factor 1; cofactor required for Tat activation of HIV-1 transcription (LOC401233), mRNA.",,
ILMN_1705337,SPATA21,"Homo sapiens spermatogenesis associated 21 (SPATA21), mRNA.",,
ILMN_1732575,SEC14L1,"Homo sapiens SEC14-like 1 (S. cerevisiae) (SEC14L1), mRNA.",,
